year	details
2025	Plenary introduction: Diffuse large B-cell lymphoma classification and ancestry. American Society of Hematology Annual Meeting, Orlando, FL, USA. 
2024	The Biology of Relapsed/Refractory DLBCL. Women in Lymphoma Webinar, virtual.  
2023	The Biology and Evolution of Relapse in DLBCL. SWOG Fall 2023 Group Meeting, Chicago, IL. 
2023	From Cell of Origin to Mutational Landscape 20 years of Evolving Molecular Classification in DLBCL. International Ultmann Chicago Lymphoma Symposium, Chicago, IL. 
2022	Relapse Timing Is Associated with Distinct Evolutionary Dynamics and Response to Salvage Therapy in DLBCL. BC Cancer Summit, Vancouver, BC. 
2021	Invited Departmental Seminar, Molecular Biology and Biochemistry, Simon Fraser University. 
2021	Guest lecture on alternate academic career paths, MBB 801, Simon Fraser University, Canada.
2021	Guest lecture on lymphoma genomics and transcriptomics, Cancer Biology, Quest University, Canada. 
2020	Guest lecture on transcriptomic analysis, MBB 460/669 Cancer Genomics, Simon Fraser University, Canada. 
2020	Guest lecture on alternate academic career paths, MBB 801, Simon Fraser University, Canada. 
2019	Oxford Nanopore long-read sequencing to refine somatic variant identification. Precision Medicine and Ion Channel Retreat, Vancouver, BC. 
2016	From Cilia to Climate Change: The Algae Connection. Hot Topics in Science Seminar, Quest University Canada. 
2017	Forward Genetics in the Era of Next Gen Sequencing. Guest Lecture, BIOL436 Intro to Functional Genomics, UBC. 
